date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:37:12	0/-1	---M--	302	error ('')			https://one.encodeinfotech.com/Tables/DataTableServerMode	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Tables/DataTableServerMode.4a.delayed	(from https://one.encodeinfotech.com/User/UserProfile)
18:37:15	5222/5222	---MCZ	200	added ('OK')	text/css	etag:%221d4366e7b170266%22	https://one.encodeinfotech.com/lib/datatables/css/dataTables.bootstrap4.min.css	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/datatables/css/dataTables.bootstrap4.min.css	(from https://one.encodeinfotech.com/Masters/Employees)
18:37:17	0/-1	---M--	302	error ('')			https://one.encodeinfotech.com/Identity/Account/Logout	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Logout.4d.delayed	(from https://one.encodeinfotech.com/Masters/Employees)
18:37:17	0/-1	---M--	302	error ('')			https://one.encodeinfotech.com/Tables/DataTableServerMode	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Tables/DataTableServerMode.4e.delayed	(from https://one.encodeinfotech.com/Masters/Employees)
18:37:18	3969/3969	---MCZ	200	added ('OK')	text/css	etag:%221d4366e8a965081%22	https://one.encodeinfotech.com/lib/datatables/css/responsive.bootstrap.min.css	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/datatables/css/responsive.bootstrap.min.css	(from https://one.encodeinfotech.com/Masters/Employees)
18:37:23	64053/64053	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:37:22%20GMT	https://one.encodeinfotech.com/Masters/Employees/Manage	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Masters/Employees/Manage.html	(from https://one.encodeinfotech.com/Masters/Employees)
18:37:27	51679/51679	---MCZ	200	added ('OK')	application/javascript	etag:%221d41519f6d397df%22	https://one.encodeinfotech.com/lib/momentjs/moment.min.js	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/momentjs/moment.min.js	(from https://one.encodeinfotech.com/Masters/Employees)
18:37:31	83268/83268	---MCZ	200	added ('OK')	application/javascript	etag:%221d4366e97b20b44%22	https://one.encodeinfotech.com/lib/datatables/js/jquery.dataTables.min.js	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/datatables/js/jquery.dataTables.min.js	(from https://one.encodeinfotech.com/Masters/Employees)
18:37:35	2070/2070	---MCZ	200	added ('OK')	application/javascript	etag:%221d4366ea4d03516%22	https://one.encodeinfotech.com/lib/datatables/js/dataTables.bootstrap4.min.js	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/datatables/js/dataTables.bootstrap4.min.js	(from https://one.encodeinfotech.com/Masters/Employees)
18:37:37	0/-1	---M--	302	error ('')			https://one.encodeinfotech.com/Identity/Account/Logout	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Logout.54.delayed	(from https://one.encodeinfotech.com/Masters/Designations)
18:37:37	0/-1	---M--	302	error ('')			https://one.encodeinfotech.com/Tables/DataTableServerMode	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Tables/DataTableServerMode.55.delayed	(from https://one.encodeinfotech.com/Masters/Designations)
18:37:37	12713/12713	---MCZ	200	added ('OK')	application/javascript	etag:%221d4366ead2849a9%22	https://one.encodeinfotech.com/lib/datatables/js/dataTables.responsive.min.js	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/datatables/js/dataTables.responsive.min.js	(from https://one.encodeinfotech.com/Masters/Employees)
